Timestamp;Anzahl;Kritisch
2024-12-15 00:05:00;24;6
2024-12-15 01:05:00;20;7
2024-12-15 02:05:00;45;16
2024-12-15 03:05:00;70;26
2024-12-15 04:05:00;36;16
2024-12-15 05:05:00;120;47
2024-12-15 06:05:00;28;7
2024-12-15 07:05:00;29;5
2024-12-15 08:05:00;65;20
2024-12-15 09:05:00;78;0
2024-12-15 10:05:00;58;4
2024-12-15 11:05:00;100;30
2024-12-15 12:05:00;36;14
2024-12-15 13:05:00;6;1
2024-12-15 14:05:00;12;5
2024-12-15 15:05:00;89;25
2024-12-15 16:05:00;42;18
2024-12-15 17:05:00;54;26
2024-12-15 18:05:00;0;1
2024-12-15 19:05:00;28;6
2024-12-15 20:05:00;74;1
2024-12-15 21:05:00;112;1
2024-12-15 22:05:00;108;50
2024-12-15 23:05:00;110;43
