Timestamp;Anzahl;Kritisch
2024-12-22 00:05:00;101;3
2024-12-22 01:05:00;44;6
2024-12-22 02:05:00;33;4
2024-12-22 03:05:00;2;1
2024-12-22 04:05:00;88;6
2024-12-22 05:05:00;11;1
2024-12-22 06:05:00;114;5
2024-12-22 07:05:00;31;9
2024-12-22 08:05:00;44;5
2024-12-22 09:05:00;80;19
2024-12-22 10:05:00;53;25
2024-12-22 11:05:00;41;16
2024-12-22 12:05:00;86;15
2024-12-22 13:05:00;25;6
2024-12-22 14:05:00;56;27
2024-12-22 15:05:00;89;42
2024-12-22 16:05:00;93;44
2024-12-22 17:05:00;104;1
2024-12-22 18:05:00;92;18
2024-12-22 19:05:00;100;3
2024-12-22 20:05:00;102;24
2024-12-22 21:05:00;48;12
2024-12-22 22:05:00;76;32
2024-12-22 23:05:00;66;2
