Timestamp;Anzahl;Kritisch
2025-01-11 00:05:00;49;7
2025-01-11 01:05:00;16;4
2025-01-11 02:05:00;101;21
2025-01-11 03:05:00;49;2
2025-01-11 04:05:00;111;35
2025-01-11 05:05:00;82;15
2025-01-11 06:05:00;60;28
2025-01-11 07:05:00;78;39
2025-01-11 08:05:00;37;2
2025-01-11 09:05:00;19;3
2025-01-11 10:05:00;100;6
2025-01-11 11:05:00;43;5
2025-01-11 12:05:00;25;1
2025-01-11 13:05:00;20;4
2025-01-11 14:05:00;9;4
2025-01-11 15:05:00;88;0
2025-01-11 16:05:00;23;4
2025-01-11 17:05:00;27;6
2025-01-11 18:05:00;79;2
2025-01-11 19:05:00;66;5
2025-01-11 20:05:00;106;1
2025-01-11 21:05:00;50;10
2025-01-11 22:05:00;81;8
2025-01-11 23:05:00;36;2
