Timestamp;Anzahl;Kritisch
2024-11-06 00:05:00;655;85
2024-11-06 01:05:00;223;0
2024-11-06 02:05:00;976;10
2024-11-06 03:05:00;292;3
2024-11-06 04:05:00;420;35
2024-11-06 05:05:00;355;81
2024-11-06 06:05:00;206;52
2024-11-06 07:05:00;869;412
2024-11-06 08:05:00;404;13
2024-11-06 09:05:00;159;56
2024-11-06 10:05:00;639;213
2024-11-06 11:05:00;247;26
2024-11-06 12:05:00;266;122
2024-11-06 13:05:00;858;286
2024-11-06 14:05:00;758;327
2024-11-06 15:05:00;156;73
2024-11-06 16:05:00;231;11
2024-11-06 17:05:00;158;24
2024-11-06 18:05:00;566;104
2024-11-06 19:05:00;690;47
2024-11-06 20:05:00;149;0
2024-11-06 21:05:00;616;83
2024-11-06 22:05:00;467;9
2024-11-06 23:05:00;756;156
