Timestamp;Anzahl;Kritisch
2024-10-31 00:05:00;103;50
2024-10-31 01:05:00;440;192
2024-10-31 02:05:00;448;99
2024-10-31 03:05:00;573;146
2024-10-31 04:05:00;937;397
2024-10-31 05:05:00;155;16
2024-10-31 06:05:00;260;104
2024-10-31 07:05:00;681;238
2024-10-31 08:05:00;220;18
2024-10-31 09:05:00;443;204
2024-10-31 10:05:00;229;109
2024-10-31 11:05:00;116;48
2024-10-31 12:05:00;168;31
2024-10-31 13:05:00;625;300
2024-10-31 14:05:00;972;371
2024-10-31 15:05:00;842;0
2024-10-31 16:05:00;471;72
2024-10-31 17:05:00;275;87
2024-10-31 18:05:00;849;244
2024-10-31 19:05:00;766;371
2024-10-31 20:05:00;700;1
2024-10-31 21:05:00;805;360
2024-10-31 22:05:00;227;55
2024-10-31 23:05:00;620;156
