Timestamp;Anzahl;Kritisch
2024-10-19 00:05:00;811;254
2024-10-19 01:05:00;331;15
2024-10-19 02:05:00;891;289
2024-10-19 03:05:00;160;6
2024-10-19 04:05:00;323;82
2024-10-19 05:05:00;108;34
2024-10-19 06:05:00;601;147
2024-10-19 07:05:00;510;187
2024-10-19 08:05:00;530;143
2024-10-19 09:05:00;129;3
2024-10-19 10:05:00;970;351
2024-10-19 11:05:00;402;140
2024-10-19 12:05:00;334;106
2024-10-19 13:05:00;665;275
2024-10-19 14:05:00;646;299
2024-10-19 15:05:00;352;58
2024-10-19 16:05:00;279;88
2024-10-19 17:05:00;136;33
2024-10-19 18:05:00;302;92
2024-10-19 19:05:00;331;111
2024-10-19 20:05:00;800;117
2024-10-19 21:05:00;632;305
2024-10-19 22:05:00;774;291
2024-10-19 23:05:00;109;34
