Timestamp;Anzahl;Kritisch
2024-10-15 00:05:00;257;4
2024-10-15 01:05:00;310;100
2024-10-15 02:05:00;256;66
2024-10-15 03:05:00;771;218
2024-10-15 04:05:00;297;70
2024-10-15 05:05:00;956;73
2024-10-15 06:05:00;428;142
2024-10-15 07:05:00;901;250
2024-10-15 08:05:00;850;6
2024-10-15 09:05:00;272;68
2024-10-15 10:05:00;213;10
2024-10-15 11:05:00;483;56
2024-10-15 12:05:00;910;178
2024-10-15 13:05:00;563;134
2024-10-15 14:05:00;927;306
2024-10-15 15:05:00;778;229
2024-10-15 16:05:00;689;162
2024-10-15 17:05:00;314;22
2024-10-15 18:05:00;640;31
2024-10-15 19:05:00;438;65
2024-10-15 20:05:00;346;164
2024-10-15 21:05:00;966;124
2024-10-15 22:05:00;195;48
2024-10-15 23:05:00;211;11
