Timestamp;Anzahl;Kritisch
2024-11-19 00:05:00;115;42
2024-11-19 01:05:00;279;17
2024-11-19 02:05:00;862;288
2024-11-19 03:05:00;240;67
2024-11-19 04:05:00;147;50
2024-11-19 05:05:00;394;119
2024-11-19 06:05:00;483;215
2024-11-19 07:05:00;384;167
2024-11-19 08:05:00;945;153
2024-11-19 09:05:00;488;103
2024-11-19 10:05:00;338;121
2024-11-19 11:05:00;113;2
2024-11-19 12:05:00;754;202
2024-11-19 13:05:00;345;56
2024-11-19 14:05:00;491;137
2024-11-19 15:05:00;430;15
2024-11-19 16:05:00;821;394
2024-11-19 17:05:00;485;99
2024-11-19 18:05:00;590;80
2024-11-19 19:05:00;737;334
2024-11-19 20:05:00;450;18
2024-11-19 21:05:00;339;136
2024-11-19 22:05:00;287;18
2024-11-19 23:05:00;634;307
