Timestamp;Anzahl;Kritisch
2024-12-27 00:05:00;798;282
2024-12-27 01:05:00;889;1
2024-12-27 02:05:00;474;50
2024-12-27 03:05:00;270;82
2024-12-27 04:05:00;356;129
2024-12-27 05:05:00;215;42
2024-12-27 06:05:00;652;6
2024-12-27 07:05:00;149;46
2024-12-27 08:05:00;613;7
2024-12-27 09:05:00;993;128
2024-12-27 10:05:00;872;103
2024-12-27 11:05:00;926;159
2024-12-27 12:05:00;528;262
2024-12-27 13:05:00;823;302
2024-12-27 14:05:00;911;326
2024-12-27 15:05:00;265;25
2024-12-27 16:05:00;263;18
2024-12-27 17:05:00;529;100
2024-12-27 18:05:00;274;61
2024-12-27 19:05:00;635;311
2024-12-27 20:05:00;251;59
2024-12-27 21:05:00;232;72
2024-12-27 22:05:00;792;137
2024-12-27 23:05:00;620;55
