Timestamp;Anzahl;Kritisch
2024-11-01 00:05:00;606;279
2024-11-01 01:05:00;528;39
2024-11-01 02:05:00;323;75
2024-11-01 03:05:00;317;97
2024-11-01 04:05:00;171;25
2024-11-01 05:05:00;554;126
2024-11-01 06:05:00;211;2
2024-11-01 07:05:00;300;48
2024-11-01 08:05:00;242;115
2024-11-01 09:05:00;101;42
2024-11-01 10:05:00;365;151
2024-11-01 11:05:00;750;335
2024-11-01 12:05:00;562;252
2024-11-01 13:05:00;360;53
2024-11-01 14:05:00;530;59
2024-11-01 15:05:00;786;326
2024-11-01 16:05:00;113;26
2024-11-01 17:05:00;692;134
2024-11-01 18:05:00;952;454
2024-11-01 19:05:00;202;93
2024-11-01 20:05:00;189;75
2024-11-01 21:05:00;942;115
2024-11-01 22:05:00;239;84
2024-11-01 23:05:00;360;42
