Timestamp;Anzahl;Kritisch
2024-11-27 00:05:00;880;320
2024-11-27 01:05:00;747;44
2024-11-27 02:05:00;409;154
2024-11-27 03:05:00;708;176
2024-11-27 04:05:00;944;337
2024-11-27 05:05:00;494;198
2024-11-27 06:05:00;458;68
2024-11-27 07:05:00;127;46
2024-11-27 08:05:00;280;86
2024-11-27 09:05:00;640;182
2024-11-27 10:05:00;503;207
2024-11-27 11:05:00;831;87
2024-11-27 12:05:00;535;194
2024-11-27 13:05:00;948;455
2024-11-27 14:05:00;633;74
2024-11-27 15:05:00;653;112
2024-11-27 16:05:00;557;261
2024-11-27 17:05:00;516;37
2024-11-27 18:05:00;437;105
2024-11-27 19:05:00;407;50
2024-11-27 20:05:00;769;88
2024-11-27 21:05:00;589;93
2024-11-27 22:05:00;658;305
2024-11-27 23:05:00;757;276
