Timestamp;Anzahl;Kritisch
2024-12-09 00:05:00;971;287
2024-12-09 01:05:00;269;6
2024-12-09 02:05:00;912;421
2024-12-09 03:05:00;768;88
2024-12-09 04:05:00;191;15
2024-12-09 05:05:00;248;117
2024-12-09 06:05:00;693;225
2024-12-09 07:05:00;694;201
2024-12-09 08:05:00;490;124
2024-12-09 09:05:00;587;33
2024-12-09 10:05:00;225;40
2024-12-09 11:05:00;137;50
2024-12-09 12:05:00;583;238
2024-12-09 13:05:00;706;327
2024-12-09 14:05:00;665;275
2024-12-09 15:05:00;385;111
2024-12-09 16:05:00;596;198
2024-12-09 17:05:00;667;90
2024-12-09 18:05:00;693;336
2024-12-09 19:05:00;223;81
2024-12-09 20:05:00;425;42
2024-12-09 21:05:00;536;33
2024-12-09 22:05:00;846;146
2024-12-09 23:05:00;984;86
