Timestamp;Anzahl;Kritisch
2024-11-08 00:05:00;523;104
2024-11-08 01:05:00;154;5
2024-11-08 02:05:00;798;20
2024-11-08 03:05:00;683;40
2024-11-08 04:05:00;706;256
2024-11-08 05:05:00;443;124
2024-11-08 06:05:00;891;168
2024-11-08 07:05:00;641;48
2024-11-08 08:05:00;687;67
2024-11-08 09:05:00;951;301
2024-11-08 10:05:00;959;453
2024-11-08 11:05:00;561;48
2024-11-08 12:05:00;406;171
2024-11-08 13:05:00;367;156
2024-11-08 14:05:00;428;26
2024-11-08 15:05:00;867;354
2024-11-08 16:05:00;260;108
2024-11-08 17:05:00;651;35
2024-11-08 18:05:00;990;404
2024-11-08 19:05:00;190;8
2024-11-08 20:05:00;569;199
2024-11-08 21:05:00;997;270
2024-11-08 22:05:00;341;19
2024-11-08 23:05:00;288;70
