Timestamp;Anzahl;Kritisch
2024-10-23 00:05:00;838;136
2024-10-23 01:05:00;977;65
2024-10-23 02:05:00;845;399
2024-10-23 03:05:00;308;67
2024-10-23 04:05:00;151;42
2024-10-23 05:05:00;108;51
2024-10-23 06:05:00;126;32
2024-10-23 07:05:00;990;108
2024-10-23 08:05:00;221;95
2024-10-23 09:05:00;604;230
2024-10-23 10:05:00;573;195
2024-10-23 11:05:00;121;10
2024-10-23 12:05:00;411;105
2024-10-23 13:05:00;796;117
2024-10-23 14:05:00;627;131
2024-10-23 15:05:00;782;96
2024-10-23 16:05:00;901;400
2024-10-23 17:05:00;485;143
2024-10-23 18:05:00;495;49
2024-10-23 19:05:00;684;14
2024-10-23 20:05:00;893;431
2024-10-23 21:05:00;481;169
2024-10-23 22:05:00;175;49
2024-10-23 23:05:00;685;68
