Timestamp;Anzahl;Kritisch
2024-11-15 00:05:00;875;193
2024-11-15 01:05:00;695;180
2024-11-15 02:05:00;251;102
2024-11-15 03:05:00;277;133
2024-11-15 04:05:00;843;323
2024-11-15 05:05:00;387;155
2024-11-15 06:05:00;362;33
2024-11-15 07:05:00;240;74
2024-11-15 08:05:00;116;33
2024-11-15 09:05:00;767;233
2024-11-15 10:05:00;100;4
2024-11-15 11:05:00;624;77
2024-11-15 12:05:00;311;5
2024-11-15 13:05:00;681;114
2024-11-15 14:05:00;736;159
2024-11-15 15:05:00;857;49
2024-11-15 16:05:00;561;220
2024-11-15 17:05:00;955;7
2024-11-15 18:05:00;448;3
2024-11-15 19:05:00;618;63
2024-11-15 20:05:00;560;134
2024-11-15 21:05:00;528;108
2024-11-15 22:05:00;256;95
2024-11-15 23:05:00;135;52
